geGloss|geSentence|viSentence
MORGEN WOLKE TEIL REGEN SCHAUER NORD MEHR STARK|auch morgen viele wolken gebietsweise regen oder schauer die im norden auch kräftig sind|Ngay cả ngày mai có nhiều đám mây mưa hoặc mưa rào cũng mạnh ở miền Bắc
BERG MACHEN LANG REGEN|am alpenrand kann es länger anhaltend regnen|Trời có thể mưa lâu hơn trên mép của dãy Alps
WEST NORDWEST BIS SACHSEN BRAND NORD AUCH SONNE AUCH WECHSELHAFT SCHAUER|im westen und nordwesten bis nach sachsen und brandenburg zeigt sich auch mal die sonne und es gibt nur gelegentliche schauer|Ở phía tây và tây bắc đến Sachsen và Brandenburg, mặt trời đôi khi rõ ràng và chỉ có những cơn mưa rào thỉnh thoảng
PUNKT NORD WIND WEHEN STURM|mäßiger richtung norden frischer bis starker und in böen stürmischer wind aus west bis südwest|Trung Bắc vừa phải mới đến mạnh hơn và trong cơn gió mạnh từ tây sang tây nam
MORGEN REGION ALLGAEU FUENF FLUSS REGION FUENF|morgen fünf grad im allgäu bis elf an rhein elbe und saale|Ngày mai năm độ trong Allgäu lên đến mười một trên Rhine Elbe và Saale
MONTAG BERG NAH DOCH REGEN HOCH UEBER SIEBENHUNDERT METER SCHNEE|am montag in alpennähe noch länger anhaltender regen etwa oberhalb von siebenhundert metern schnee|Vào thứ Hai gần khu vực gần như mưa dài hơn bảy trăm mét tuyết
REGION NEBEL WOLKE NORD MEISTENS SCHAUER|sonst teilweise zäher nebel oder wolken und vor allem im norden schauer|nếu không thì một phần sương mù hoặc mây và đặc biệt là ở phía bắc của mưa rào
DIENSTAG KOMMEN MEHR FREUNDLICH WEIL NEBEL VERSCHWINDEN|ab dienstag wird es von westen zunehmend freundlicher sofern sich die nebelfelder auflösen|Từ thứ ba, nó sẽ ngày càng thân thiện với phương Tây nếu các cánh đồng sương mù hòa tan
JETZT WETTER WIE AUSSEHEN MORGEN SAMSTAG DREI ZWANZIG JANUAR|und nun die wettervorhersage für morgen samstag den dreiundzwanzigsten januar|Và bây giờ dự báo thời tiết cho ngày mai thứ bảy ngày hai mươi tháng một
DANN SAMSTAG RUHIG MISCHUNG NEBEL WOLKE BISSCHEN SONNE|auch am samstag erwartet uns eine ruhige mischung aus nebel wolken und gelegentlichem sonnenschein|Một sự pha trộn yên tĩnh của những đám mây sương mù và ánh nắng thỉnh thoảng đang chờ chúng tôi vào thứ bảy
HEUTE NACHT HIMMEL NEG HABEN WOLKE|heute nacht ist der himmel meist wolkenverhangen|Tối nay bầu trời chủ yếu là mây
AUFLOCKERUNG MOEGLICH NEBEL|wo sich lücken auftun kann sich nebel bilden|Nơi những khoảng trống mở có thể hình thành sương mù
TEILWEISE REGEN TROPFEN|vereinzelt fallen ein paar flocken oder tropfen|Thỉnh thoảng một vài vảy hoặc rơi xuống
ABEND NORDWEST SCHNEE ODER REGEN GLATT GEFRIEREN|gegen abend muss im nordwesten und westen mit etwas schnee oder gefrierendem regen gerechnet werden|Vào buổi tối ở Tây Bắc và Tây, phải dự kiến sẽ có mưa tuyết hoặc mưa
SUED SCHWACH NORD MAESSIG NORD FRISCH WEHEN|im süden schwacher im norden teilweise mäßiger und in küstennähe auch frischer wind aus südost|Ở miền Nam, yếu ở phía bắc, đôi khi vừa phải và thậm chí là gió mới từ phía đông nam
NORD SUED FROST WEST NULL WEST|im osten und süden heute nacht örtlich strenger frost im äußersten westen werte um den gefrierpunkt|Ở phía đông và phía nam tối nay, Frost Frost ở Viễn Tây giá trị cho điểm đóng băng
MORGEN TEMPERATUR PLUS FUENF FLUSS MINUS ACHT REGION|morgen temperaturen von plus fünf grad am rhein bis minus acht grad an der oder|Nhiệt độ ngày mai từ cộng năm độ trên sông Rhine đến trừ tám độ trên Oder
AUCH SONNTAG VIEL WOLKE HAUPTSAECHLICH WEST SCHNEE REGEN MOEGLICH TEILWEISE GEFRIEREN KOENNEN|auch am sonntag gibt es viele wolken die vor allem in der westhälfte schnee oder regen bringen der örtlich gefrieren kann|Ngoài ra còn có nhiều đám mây vào Chủ nhật có thể mang tuyết hoặc mưa, đặc biệt là ở nửa phía tây của phương Tây, có thể đóng băng tại địa phương
ANFANG WOCHE SONNE SELTEN TEIL SCHNEE|zum wochenbeginn macht sich die sonne weiterhin rar gebietsweise fällt schnee|Vào đầu tuần, mặt trời tiếp tục rất hiếm ở các khu vực
JETZT WIE AUSSEHEN WETTER MORGEN SAMSTAG NEUN ZWANZIG SEPTEMBER|und nun die wettervorhersage für morgen samstag den neunundzwanzigsten september|Và bây giờ dự báo thời tiết cho ngày mai thứ bảy
SUED NACHT ANFANG VERSCHWINDEN MEISTENS WOLKE VERSCHWINDEN|im süden beginnt die nacht klar auch sonst lösen sich die meisten wolken auf|Ở miền Nam, đêm bắt đầu rõ ràng nếu không, hầu hết các đám mây tan biến
NORDWEST SPAETER SCHAUER|nur im nordwesten fallen später schauer|Chỉ ở cửa Tây Bắc rơi sau đó
TAG SUED WEST NORD WOLKE SCHAUER MEER SCHAUER|am tag breiten sich die wolken mit einzelnen schauern von der nordsee über die nordwesthälfte aus|Vào ban ngày, những đám mây lan rộng với những cơn mưa rào từ Biển Bắc qua nửa phía tây bắc
ZWISCHEN REGION SACHSEN LANG FREUNDLICH SUEDOST REGEN KOENNEN|zwischen pfalz und sachsen bleibt es am längsten freundlich südöstlich davon regnet es zeitweise|Giữa Palatinate và Sachsen, nó vẫn là phía đông nam thân thiện nhất của nó, nó tạm thời mưa
NACHT NORDWEST ELF GRAD ALPENTAL VIER GRAD|in der nacht elf grad im nordwesten vier grad in den alpentälern|Vào ban đêm mười một độ ở Tây Bắc bốn độ trong Thung lũng Alps
TAG SCHH STEIN DREIZEHN GRAD SONNE LANG DABEI ZWANZIG GRAD|am tag dreizehn grad in schleswig holstein und zwanzig grad dort wo die sonne länger scheint|Vào ngày mười ba độ ở Schleswig Holstein và hai mươi độ nơi mặt trời chiếu sáng lâu hơn
NAECHSTE SONNTAG NAECHSTE MONTAG UEBERWIEGEND FREUNDLICH SUEDOST KUESTE SCHAUER|am sonntag und am montag ist es verbreitet freundlich im südosten und an den küsten einzelne schauer|Vào Chủ nhật và Thứ Hai, nó là phổ biến ở Đông Nam và trên bờ biển của những cơn mưa rào cá nhân
DIENSTAG SUEDOST NOCH FREUNDLICH NORDWEST WOLKE REGEN SCHAUER|am dienstag ist es im süden und osten recht freundlich von westen werden die wolken dichter stellenweise fallen schauer|Vào thứ ba, nó rất thân thiện ở phía nam và phía đông, những đám mây sẽ rơi dày hơn từ phương Tây
JETZT WETTER WIE AUSSEHEN MORGEN FREITAG VIERTE FEBRUAR|und nun die wettervorhersage für morgen freitag den vierten februar|Và bây giờ dự báo thời tiết cho ngày mai thứ tư thứ tư thứ tư
LUFT DRUCK UNTERSCHIED KOMMEN DARUM STURM NORDOST|hohe luftdruckunterschiede sorgen für stürmische winde vor allem im norden deutschlands|Sự khác biệt về áp suất không khí cao đảm bảo gió bão, đặc biệt là ở miền bắc nước Đức
REGEN KOENNEN|dort bringen die tiefs auch zum teil länger andauernden regen|Ở đó, một số mức thấp đôi khi mưa dài hơn
SUED HOCH KOMMEN FREUNDLICH|richtung süden ist es dank hochdruckeinfluss freundlicher|Nó thân thiện với miền Nam nhờ ảnh hưởng của áp lực cao
HEUTE NACHT SUEDOST SCHNEE REGEN GLATT|heute nacht fällt im südosten noch schnee oder gefrierender regen|Tối nay vẫn còn tuyết hoặc mưa đóng băng ở phía đông nam
NORD NEU REGEN KOMMEN KOENNEN GLATT|später kommt im norden neuer regen auf der nordosten sowie in den nördlichen hochlagen gefrieren kann|Sau đó ở phía bắc của mưa mới đến ở phía đông bắc và ở các lớp cao phía bắc
AUCH SCHNEE KOENNEN|auch schnee ist dort möglich|Tuyết cũng có thể ở đó
TAG NORD REGEN KOENNEN|am tag regnet es in der nordhälfte teilweise kräftig|Vào ban ngày trời mưa lớn ở nửa phía bắc
SUED WOLKE NEBEL KOENNEN SONNE BLEIBEN TROCKEN|weiter südlich gibt es neben wolken und nebelfeldern gebietsweise sonnenschein und es bleibt weitgehend trocken|Xa hơn về phía nam, ngoài những đám mây và các trường sương mù, còn có ánh nắng mặt trời ở một số khu vực và nó vẫn còn khô
IN KOMMEND MEHR MILD|es wird noch milder|Nó sẽ còn nhẹ hơn
NORD WOCHENENDE BLEIBEN REGEN WIND|im norden bleibt es am wochenende regnerisch und windig|Ở phía bắc trời vẫn còn mưa và gió vào cuối tuần
SAMSTAG STURM SUED FREUNDLICH|am samstag zum teil noch stürmisch im süden freundlicher|Vào thứ bảy, đôi khi vẫn còn bão ở miền Nam
MORGEN KUESTE KOENNEN REGEN WIND REGION FREUNDLICH|am montag an den küsten noch zeitweise regen und sehr windig sonst verbreitet freundlich|Vào thứ hai trên bờ biển, mưa và rất gió khác lan rộng thân thiện
LIEB ZUSCHAUER GUT ABEND|liebe zuschauer guten abend|Người xem thân mến Chào buổi tối
HEUTE GERADE ERSTE SOMMER TAG FUER WIRKLICH WETTER FACH LEUTE GESTERN FRUEHLING ZU ENDE VORBEI ENORM NEG ZU-WARM|heute der erste sommertag für die meteorologen aber das frühjahr das gestern zu ende ging war ja auch zu warm|Hôm nay là ngày hè đầu tiên cho các nhà khí tượng học nhưng mùa xuân kết thúc ngày hôm qua quá ấm áp
WER VERWOEHNT ENORM ABER REGION GROB KOENNEN SAGEN UEBER MITTE WERT|wir sind auch sehr verwöhnt worden aber flächendeckend lagen die temperaturen weitgehend über dem mittelwert|Chúng tôi cũng đã rất hư hỏng, nhưng nhiệt độ phần lớn trên mức trung bình
BEISPIEL STUTTGART REGION HOCH WERT MITTE WERT STEIGEN RUNTER UNTER NULL KAUM|beispiel dafür hier diese kurve von stuttgart echterdingen hier das rote der mittelwert die abweichungen weitgehend nach oben|Ví dụ về điều này ở đây, đường cong của Stuttgart Echterdingen ở đây giá trị màu đỏ của độ lệch phần lớn lên trên
AUCH BESONDERS TROCKEN|das trockenste frühjahr seit beginn der wetteraufzeichnungen allerdings auch|Tuy nhiên, mùa xuân khô nhất kể từ khi bắt đầu kỷ lục thời tiết
SCHAUEN HELL GELB PUNKT TROCKEN NUR VIER PROZENT HAELFTE NORMAL REGEN WIEVIEL NUR VIER PROZENT VON NORMAL|und wir sehen hier dass diese ganzen hellgelben regionen dort war es viel zu trocken teilweise sind nur vier prozent des normalen wertes an regen gefallen überhaupt|Và chúng ta thấy ở đây rằng tất cả những vùng màu vàng nhạt ở đó quá khô. Đôi khi chỉ có bốn phần trăm giá trị mưa bình thường nói chung đã giảm
REGEN NEG VIEL WARUM PUNKT BERG REGEN|und es kommt im moment auch nicht viel regen nach denn der regen zieht sich immer mehr richtung alpenrand zurück|Và hiện tại không có nhiều mưa vì mưa đang quay trở lại rìa núi cao ngày càng nhiều
GESAMT TROCKEN REGION KUEHL MORGEN DASSELBE SCHAUER REGION|sonst bleibt es trocken relativ kühl die nacht und auch morgen allenfalls noch ein paar schauer am alpenrand|Nếu không thì nó vẫn khô tương đối mát và nhiều nhất là một vài vòi hoa sen ở rìa dãy Alps
SONST VIEL SONNE REGION TEILWEISE WEHEN STARK TEMPERATUR ANGENEHM TEILWEISE UNGEFAEHR ZWANZIG GRAD UEBER BIS FUENF ZWANZIG REGION|aber sonst viel sonnenschein teilweise kräftiger nordnordostwind und angenehme temperaturen teilweise wieder so knapp über zwanzig grad bis fünfundzwanzig sogar am rhein|Nhưng nếu không thì rất nhiều ánh nắng mặt trời đôi khi gió đông bắc và nhiệt độ dễ chịu đôi khi chỉ hơn hai mươi độ đến hai mươi -five ngay cả trên sông Rhine
BEDEUTEN WOCHENENDE IN KOMMEND KOENNEN SAGEN SOMMER PASSEN SOMMER AB SAMSTAG MITTE REGION SUED REGEN DABEI|in der summe also dieses lange wochenende sehr sommerlich allerdings dann ab samstag in der mitte und auch im süden wieder mit gewittern|Tổng cộng, cuối tuần dài này rất mùa hè, tuy nhiên, sau đó một lần nữa ở giữa và ở phía nam một lần nữa với những cơn giông bão
SCHOEN ABEND TSCHUESS|ich wünsche ihnen noch einen schönen abend|Tôi chúc bạn một buổi tối tốt đẹp
GUT ABEND LIEB ZUSCHAUER POSS EUCH|guten abend liebe zuschauer|Chào buổi tối khán giả thân yêu
MORGEN MEHR WARM AUCH SONNE MEHR SCHOEN|es wird morgen wieder wärmer und es wird auch immer schöner werden|Nó sẽ ấm hơn vào ngày mai và nó sẽ ngày càng đẹp hơn
REGEN WENIGER|der regen lässt immer mehr nach|Mưa ngày càng tăng
REGION IM MOMENT KUEHL KOMMEN VERSCHWINDEN PUNKT BISSCHEN REGEN|das kühle wetter bei uns zieht richtung südosten ab was folgt sind ein paar kleinere regengebiete|Thời tiết mát mẻ với chúng tôi kéo về phía đông nam những gì tiếp theo là một vài khu vực mưa nhỏ hơn
MORGEN NACH MITTAG NORD VERSCHWINDEN|morgen am nachmittag hier über norddeutschland das streift uns|Ngày mai vào buổi chiều ở phía bắc nước Đức đi lang thang chúng ta
DANN PUNKT KOMMEN MEHR WARM SONNE|ansonsten wird es dann in den nächsten tagen deutlich wärmer aus dem südwesten und sonniger mit diesem herrlichen hochdruckgebiet|Nếu không, nó sẽ ấm hơn đáng kể từ Tây Nam và Sunnier với khu vực áp suất cao tuyệt vời này trong vài ngày tới
AUF JEDEN-FALL HEUTE ABEND PUNKT BISSCHEN REGEN|auf jeden fall gibt es heute nacht noch hier und da kleine regenschauer|Trong mọi trường hợp, vẫn còn những cơn mưa rào nhỏ ở đây và đêm nay
SONST VERSCHWINDEN STERN KOENNEN SEHEN WEST ODER EIFEL BESONDERS KALT EINS BIS ZWEI GRAD|sonst klart es aber von westen mehr und mehr auf und es wird dann hier am rhein im hunsrück oder auch in der eifel am kühlsten ein zwei grad|Nếu không, nó sẽ rõ ràng hơn và nhiều hơn từ phương Tây và nó sẽ là hai độ ở đây trên sông Rhine trong Hunsrück hoặc trong Eifel
SONST VIER BIS SIEBEN GRAD PUNKT REGION MEISTENS|ansonsten sind es etwa vier bis sieben grad im osten vor allen dingen|Nếu không thì có khoảng bốn đến bảy độ ở phía đông trên tất cả
NUR KUESTE PUNKT KUEHL WOLKE KOMMEN|und nur an den küsten bleibt es etwas kühler die wolken sind halt dicht|Và chỉ trên bờ biển, nó vẫn mát hơn một chút, những đám mây chỉ là chặt chẽ
DESHALB AB MITTAG NORD REGEN NACH MITTAG KOMMEN REGEN|und ab mittag fängt es an der nordsee auch wieder an zu regnen nachmittags an der ostseeküste|Và từ trưa trời bắt đầu mưa trở lại trên Biển Bắc vào buổi chiều trên Bờ biển Baltic
WIND WEHEN STARK STURM PUNKT KOENNEN|der wind wird auch stark weht dort aus dem südwesten kann stürmische böen an der nordsee geben|Gió cũng thổi mạnh ở đó từ phía tây nam có thể tạo ra những cơn bão bão trên Biển Bắc
MITTE REGION SUED SONNE WOLKE WECHSELHAFT NUR REGION DANN BISSCHEN REGEN|ansonsten in der mitte und im süden wechseln sonne und wolken höchstens am alpenrand gibt es noch mal einen kleinen regenschauer|Mặt khác, ở giữa và phía nam, mặt trời và mây thay đổi nhiều nhất ở rìa của dãy Alps
IN KOMMEND DANN MEHR WARM SONNE STARK ABER LEIDER NORD NEG SEHEN NEG FUEHLEN SONNE WENIG|in den nächsten tagen wird es noch wärmer von südwesten und es wird auch ziemlich sonnig aber leider wird man in norddeutschland nicht ganz so verwöhnt|Trong vài ngày tới, nó sẽ ấm hơn từ Tây Nam và trời sẽ khá nắng nhưng thật không may, bạn sẽ không bị hư hỏng ở miền bắc nước Đức
SCHOEN ABEND TSCHUESS|ihnen einen schönen abend und machen sie es gut|Chúc một buổi tối vui vẻ và làm tốt
HOCH LUFT KOMMEN MORGEN PUNKT DEUTSCH REGION NEBEL SONNE|morgen beschert hoher luftdruck großen teilen deutschlands wieder eine mischung aus nebel und sonne|Ngày mai áp suất không khí cao sẽ mang lại cho các phần lớn của Đức một hỗn hợp của sương mù và mặt trời
NORD NORDWEST TIEF KOMMEN TEIL KRAEFTIG WOLKE|in den norden und nordwesten bringt ein atlantischer tiefausläufer allerdings teilweise dichte wolken|Tuy nhiên, ở phía bắc và Tây Bắc, một cuộc chạy sâu Đại Tây Dương -mang lại những đám mây dày đặc
SONST REGION SOWIESO TROCKEN MOND STERN NEBEL|im übrigen land bleibt es ohnehin trocken mond und sterne werden aber zunehmend von nebel oder hochnebel verdeckt|Ở phần còn lại của đất nước, dù sao nó vẫn là mặt trăng khô và các ngôi sao ngày càng bị che phủ bởi sương mù hoặc sương mù cao
PUNKT MORGEN HART NEBEL ORT AUCH FREUNDLICH|und der kann sich morgen wieder hartnäckig halten regional wird es aber auch freundlich|Và anh ấy có thể kiên trì vào ngày mai, nhưng nó cũng sẽ là khu vực thân thiện
PUNKT WEHEN SCHWACH MAESSIG PUNKT KUESTE AUCH FRISCH AUCH WEHEN|schwacher richtung norden teilweise mäßiger an der küste auch frischer wind aus südlichen richtungen|North yếu, đôi khi được kiểm duyệt trên bờ biển, thậm chí gió mới từ hướng nam
